Date,Open,High,Low,Close,Volume,Ticker,Fund_Name,Category,Style,SMA_20,SMA_50,SMA_200,Daily_Return,Volatility_20,Cumulative_Return
2023-02-17 00:00:00-05:00,106.51188659667969,106.51188659667969,106.51188659667969,106.51188659667969,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.66923866271972,,,-1.0387905640998896,1.681371231229114,15.500684736178627
2023-02-21 00:00:00-05:00,103.71265411376953,103.71265411376953,103.71265411376953,103.71265411376953,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.72100028991699,,,-2.6280939830779615,1.7325814593262443,12.465218190213289
2023-02-22 00:00:00-05:00,103.91969299316406,103.91969299316406,103.91969299316406,103.91969299316406,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.79884910583496,,,0.19962740435455206,1.730573978759635,12.689729586088095
2023-02-23 00:00:00-05:00,105.31103515625,105.31103515625,105.31103515625,105.31103515625,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.94874954223633,,,1.3388628497752242,1.7524097895565443,14.198490511028371
2023-02-24 00:00:00-05:00,103.4393539428711,103.4393539428711,103.4393539428711,103.4393539428711,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.91396636962891,,,-1.7772887813721439,1.7597011708201378,12.168853550679536
2023-02-27 00:00:00-05:00,104.0439224243164,104.0439224243164,104.0439224243164,104.0439224243164,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.84398536682129,,,0.5844666061808557,1.740374601176881,12.824443042219169
2023-02-28 00:00:00-05:00,104.06877136230469,104.06877136230469,104.06877136230469,104.06877136230469,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.89367637634277,,,0.023883123020818076,1.662024416331738,12.851389042748496
2023-03-01 00:00:00-05:00,103.35652923583984,103.35652923583984,103.35652923583984,103.35652923583984,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.80961647033692,,,-0.6843956329466439,1.610944462038424,12.079039064420293
2023-03-02 00:00:00-05:00,104.34205627441406,104.34205627441406,104.34205627441406,104.34205627441406,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.66385688781739,,,0.9535218005680468,1.5479375459489746,13.147737135766736
2023-03-03 00:00:00-05:00,106.35453033447266,106.35453033447266,106.35453033447266,106.35453033447266,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.4439754486084,,,1.9287276213590276,1.4180102809472201,15.330048794846963
2023-03-06 00:00:00-05:00,105.90731811523438,105.90731811523438,105.90731811523438,105.90731811523438,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.29738883972168,,,-0.4204919318733791,1.3729694574365725,14.845095244638994
2023-03-07 00:00:00-05:00,104.88037109375,104.88037109375,104.88037109375,104.88037109375,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.14293365478515,,,-0.96966577924954,1.3778855295494745,13.731481656905187
2023-03-08 00:00:00-05:00,105.41041564941406,105.41041564941406,105.41041564941406,105.41041564941406,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,105.90441932678223,,,0.5053801298912974,1.2895382127274204,14.306257966630142
2023-03-09 00:00:00-05:00,103.0666732788086,103.0666732788086,103.0666732788086,103.0666732788086,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,105.63112106323243,,,-2.2234447669768787,1.3370224819114462,11.764721455544013
2023-03-10 00:00:00-05:00,101.05419921875,101.05419921875,101.05419921875,101.05419921875,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,105.30192108154297,,,-1.9525943702622395,1.385480748545976,9.582409796463786
2023-03-13 00:00:00-04:00,101.25296783447266,101.25296783447266,101.25296783447266,101.25296783447266,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,105.05388259887695,,,0.1966950579583404,1.368316590267017,9.797952980925096
2023-03-14 00:00:00-04:00,103.58841705322266,103.58841705322266,103.58841705322266,103.58841705322266,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,104.84062728881835,,,2.306548902910155,1.4296090011969216,12.330496460824424
2023-03-15 00:00:00-04:00,103.30683898925781,103.30683898925781,103.30683898925781,103.30683898925781,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,104.54703788757324,103.07196990966797,,-0.2718238891710967,1.3899660537079535,12.02515533661941
2023-03-16 00:00:00-04:00,106.24687194824219,106.24687194824219,106.24687194824219,106.24687194824219,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,104.3702220916748,103.35255661010743,,2.845922871853701,1.5468351800812021,15.213304854573906
